194.127.109.0/24,210095,9,02 06 08 09 07 05 01 03 04
45.8.172.0/22,61317,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
192.140.216.0/24,136399,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
147.28.245.0/24,47065,25,02 18 06 08 03 19 28 12 16 09 07 01 26 04 13 14 11 05 29 30 15 17 27 10 20
185.217.225.0/24,35790,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
185.217.227.0/24,35790,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
185.217.224.0/24,35790,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
47.19.34.0/24,62677,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
35.62.0.0/24,397797,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
35.62.3.0/24,397797,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
35.62.6.0/24,397797,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
35.62.4.0/23,397797,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
35.62.5.0/24,397797,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
35.62.7.0/24,397797,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
35.62.1.0/24,397797,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
35.62.6.0/23,397797,30,02 18 06 08 21 24 03 19 23 28 12 16 09 07 01 26 04 13 14 11 05 29 25 30 15 17 27 22 10 20
